stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"268-02","","諏訪河原","","40.517583","141.518779","Z268-02","","0","","","",""
"701-02","","柳橋","","40.519935","141.522106","Z701-02","","0","","","",""
"610-02","","松美ヶ丘","","40.509711","141.552878","Z610-02","","0","","","",""
"526-02","","東給食センター","","40.507823","141.555018","Z526-02","","0","","","",""
"118-02","","上大久保","","40.505509","141.556751","Z118-02","","0","","","",""
"11-02","","旭ヶ丘東口","","40.497314","141.542178","Z11-02","","0","","","",""
"156-02","","小久保平","","40.495290","141.542566","Z156-02","","0","","","",""
"333-02","","出口平","","40.489484","141.546838","Z333-02","","0","","","",""
"605-02","","町畑通","","40.487279","141.549492","Z605-02","","0","","","",""
"518-02","","花生","","40.484050","141.554200","Z518-02","","0","","","",""
"640-02","","美保野口","","40.483333","141.559149","Z640-02","","0","","","",""
"639-01","","美保野一区","","40.484007","141.574600","Z639-01","","0","","","",""
"643-01","","美保野二区","","40.483205","141.577556","Z643-01","","0","","","",""
"641-01","","美保野三区","","40.482491","141.580923","Z641-01","","0","","","",""
"656-01","","美保野生活館前","","40.482638","141.585954","Z656-01","","0","","","",""
"323-01","","短大前","","40.484359","141.587866","Z323-01","","0","","","",""
"556-01","","八戸学院大学","","40.484892","141.590611","Z556-01","","0","","","",""
"172-02","","工業大学正門前","","40.481812","141.563538","Z172-02","","0","","","",""
"147-01","","工業大学前","","40.480632","141.563124","Z147-01","","0","","","",""
"172-01","","工業大学正門前","","40.481837","141.563412","Z172-01","","0","","","",""
"640-01","","美保野口","","40.483115","141.558988","Z640-01","","0","","","",""
"518-01","","花生","","40.485158","141.551622","Z518-01","","0","","","",""
"605-01","","町畑通","","40.487062","141.549319","Z605-01","","0","","","",""
"333-01","","出口平","","40.491714","141.544025","Z333-01","","0","","","",""
"156-01","","小久保平","","40.493637","141.542802","Z156-01","","0","","","",""
"304-01","","第二桜ヶ丘","","40.489972","141.559936","Z304-01","","0","","","",""
